年度,月份,樣品編號,試驗項目,地點,pH,有機質,P2O5,K2O,CaO,MgO,EC,Fe,Mn,Cu,Zn,Pb,Cd,Ni,Cr,Na,Si
"2019","5","10805002","酪梨","0981	","6.17","6.85","1117.05","500.51","4590.62","362.60","0.19","260.22","134.81","5.85","14.61","3.15","未檢出","1.04","0.51","*","*"
"2019","5","10805003","蔬菜","0925	","6.83","3.64","1021.00","105.97","4803.69","197.05","0.14","497.47","142.39","68.63","58.72","3.30","未檢出","1.57","0.31","*","*"
"2019","5","10805004","荖葉","","6.61","3.67","742.65","119.26","6014.83","374.09","1.17","388.41","121.15","6.23","24.76","*","*","*","*","*","*"
"2019","5","10805005","番荔枝","蘭里段 69	","6.54","4.20","1240.95","294.80","5916.02","149.93","0.61","567.49","155.91","6.37","28.46","2.85","未檢出","2.42","0.56","*","*"
"2019","5","10805006","番荔枝","蘭里段 123	","6.42","3.97","1074.15","190.62","3129.15","138.65","0.33","742.16","78.27","6.31","21.68","4.74","未檢出","1.76","0.86","*","*"
"2019","5","10805007","","","7.62","3.63","18.20","69.27","8767.16","161.26","0.19","444.03","89.54","3.04","5.66","*","*","*","*","*","*"
"2019","5","10805008","","","7.77","3.57","17.24","91.07","11256.52","199.35","0.19","452.38","94.82","3.05","7.55","*","*","*","*","*","*"
"2019","5","10805009","番荔枝","新香蘭	","5.87","6.40","1258.15","170.32","2981.71","144.86","0.13","806.39","63.42","4.86","27.40","*","*","*","*","*","*"
"2019","5","10805010","番荔枝","新香蘭	","5.86","5.79","1269.50","174.47","4034.68","172.61","0.18","701.68","76.58","5.64","38.59","*","*","*","*","*","*"
"2019","5","10805011","水稻","真柄段 825-3、823-5；城子埔段 196、198	","6.00","4.48","13.33","97.32","2751.43","915.68","0.08","824.30","59.21","7.37","1.41","0.76","未檢出","1.67","1.19","*","*"
"2019","5","10805012","水稻","城子埔段 203、204、205	","5.71","4.84","7.57","86.53","2594.46","889.34","0.06","974.47","61.11","7.60","0.94","0.78","未檢出","1.89","1.32","*","*"
"2019","5","10805013","水稻","中柄段 519	","5.37","4.33","7.89","78.75","2082.69","895.07","0.07","1125.77","24.37","8.48","63.63","0.93","未檢出","2.43","1.19","*","*"
"2019","5","10805014","水稻","真柄段 717	","5.29","4.48","6.79","49.24","1166.94","387.08","0.07","2474.80","158.13","6.31","1.91","6.69","未檢出","2.78","1.66","*","*"
"2019","5","10805015","水稻","豐里段 0538-0000	","5.69","4.52","191.41","54.89","1376.39","161.89","0.13","1281.91","16.28","9.57","9.36","*","*","*","*","*","*"
"2019","5","10805016","水稻","豐康段 0317-0000	","6.43","4.71","139.41","50.57","2507.05","157.84","0.26","1146.66","41.81","7.42","7.84","*","*","*","*","*","*"
"2019","5","10805017","水稻","知本段 7382-0000	","6.99","4.75","126.66","56.58","4776.48","275.18","0.30","1543.02","111.58","9.45","13.38","*","*","*","*","*","*"
"2019","5","10805018","水稻","豐樂段 2709-0000	","6.25","4.88","283.88","48.84","1216.20","139.66","0.16","612.66","5.01","6.11","5.41","*","*","*","*","*","*"
"2019","5","10805019","水稻","豐源段 0007-0000	","7.19","4.98","80.12","53.73","7501.28","300.14","0.29","1296.56","144.78","6.07","12.58","*","*","*","*","*","*"
"2019","5","10805020","水稻","知本段 7353-0000	","6.30","4.69","262.53","57.61","1903.87","175.06","0.26","1388.03","62.77","10.39","31.45","*","*","*","*","*","*"
"2019","5","10805021","水稻","知本段 7079-0000	","7.15","4.26","40.55","38.63","12323.09","235.21","0.42","955.16","156.11","4.70","6.14","*","*","*","*","*","*"
"2019","5","10805022","水稻","大豐段 0090-0000	","7.27","4.90","103.54","48.25","7440.47","305.50","0.44","1408.63","179.64","6.36","11.90","*","*","*","*","*","*"
"2019","5","10805023","水稻","大豐段 0014-0000	","7.42","4.60","128.86","67.64","6579.79","313.30","0.32","1792.65","137.97","7.41","9.12","*","*","*","*","*","*"
"2019","5","10805024","茶","0201	","7.34","4.15","753.25","61.31","2318.82","90.34","0.07","320.49","55.65","3.86","27.04","3.36","未檢出","0.72","0.59","*","*"
"2019","5","10805025","荖葉","香蘭段	","6.88","3.48","686.05","114.36","4055.62","157.95","0.39","572.29","111.67","13.45","14.39","*","*","*","*","*","*"
"2019","5","10805026","荖葉","香蘭段	","7.33","3.41","624.03","24.74","2410.87","85.93","0.11","638.96","75.87","10.87","12.59","*","*","*","*","*","*"
"2019","5","10805027","荖葉","知本段 7842-000	","7.28","4.11","1106.60","39.99","4697.64","196.55","0.09","476.93","130.89","14.57","37.68","*","*","*","*","*","*"
"2019","5","10805028","荖葉","知本段 7983-0001	","7.09","4.51","414.63","435.58","10579.68","337.95","0.92","566.75","245.89","2.72","16.79","*","*","*","*","*","*"
"2019","5","10805029","苦茶","後湖段 0374	","7.31","5.51","343.87","294.49","3196.78","192.40","0.10","398.78","137.43","7.60","11.12","*","*","*","*","*","*"
"2019","5","10805030","苦茶","後湖段 0374	","7.33","4.95","303.12","181.04","3121.92","172.50","0.08","363.44","128.72","10.74","9.60","*","*","*","*","*","*"
"2019","5","10805031","印加果","中清段 29 號	","6.78","3.70","297.38","34.20","1531.79","138.13","0.04","442.14","57.94","8.63","4.40","3.61","未檢出","1.24","0.18","*","*"
"2019","5","10805032","荖葉","","6.32","3.74","1065.90","73.09","3465.98","146.37","0.21","465.24","77.78","19.12","22.88","*","*","*","*","*","*"
"2019","5","10805033","百香果、草莓、地瓜葉","豐川段 0900-0000	","7.31","4.78","53.40","200.84","16166.13","560.94","0.24","384.04","189.96","2.51","8.16","1.45","未檢出","2.14","0.35","*","*"
"2019","5","10805034","水稻","馬稼海段 52 號	","6.56","4.80","30.00","111.76","2147.69","440.64","0.10","515.84","53.60","4.25","3.80","1.55","未檢出","1.30","1.45","*","*"
"2019","5","10805035","木瓜、酪梨","城仔埔段 21 號	","6.69","4.48","59.52","236.10","968.01","215.14","0.04","77.50","10.53","1.36","1.40","1.29","未檢出","0.03","0.43","*","*"
"2019","5","10805036","水稻","中柄段 519	","5.71","4.09","8.89","70.66","2202.82","843.06","0.05","1029.80","79.51","7.18","1.87","1.03","未檢出","3.02","1.23","*","*"
"2019","5","10805037","水稻","中柄段 519	","5.40","4.60","8.50","113.27","2742.95","1067.91","0.09","1208.76","48.48","9.54","71.88","1.07","未檢出","3.39","1.69","*","*"
"2019","5","10805038","紅龍果","豐聖段 643-2	","7.21","7.32","1734.05","693.09","17046.43","790.07","0.43","192.05","174.18","13.18","198.61","2.55","未檢出","0.91","0.35","*","*"
"2019","5","10805039","紅龍果","利家段 6946	","7.02","5.97","1431.55","304.00","12308.04","424.27","0.34","397.75","114.19","13.42","103.06","2.20","未檢出","1.06","0.49","*","*"
"2019","5","10805040","紅龍果","利家段 7186	","6.88","6.79","1667.55","539.01","15381.65","899.96","0.60","284.22","137.98","30.66","174.34","*","*","*","*","*","*"
"2019","5","10805041","紅龍果","利家段 7197	","7.12","5.32","1509.70","198.40","10499.69","406.65","0.21","307.63","111.42","31.46","95.81","*","*","*","*","*","*"
"2019","5","10805042","紅龍果","豐聖段 643	","7.07","5.22","1493.50","110.64","14677.27","569.15","0.26","320.10","153.07","27.65","117.40","*","*","*","*","*","*"
"2019","5","10805043","紅龍果","康樂段 464-3	","7.00","6.60","1635.30","227.25","14050.78","597.93","0.32","273.80","122.74","23.00","144.71","*","*","*","*","*","*"
"2019","5","10805044","紅龍果","康樂段 464	","6.66","5.51","1431.05","284.57","9586.38","376.18","0.46","308.43","94.33","30.21","124.51","*","*","*","*","*","*"
"2019","4","10804009","荖葉","","6.93","2.66","762.40","236.82","3718.09","203.65","0.23","275.35","79.15","12.86","34.94","1.91","未檢出","1.00","0.13","*","*"
"2019","4","10804010","荖葉","","6.90","1.97","496.32","193.09","1334.98","87.48","0.28","259.20","59.93","9.77","15.10","1.61","未檢出","0.69","0.11","*","*"
"2019","4","10804011","目前未種（要種杭菊）","建東	","5.94","3.45","218.51","72.67","587.33","76.74","0.08","449.93","2.42","5.88","2.20","*","*","*","*","*","*"
"2019","4","10804012","目前未種（要種杭菊）","建東	","5.34","3.78","434.28","125.78","828.44","130.86","0.26","470.24","4.35","7.14","4.03","*","*","*","*","*","*"
"2019","4","10804013","目前未種（要種杭菊）","建東	","5.68","3.15","400.68","81.71","752.18","104.23","0.09","448.85","4.60","6.55","3.58","*","*","*","*","*","*"
"2019","4","10804014","百香果","樂山 426	","5.71","3.83","99.50","107.94","807.45","165.01","0.07","288.78","38.38","2.14","2.16","4.53","未檢出","0.27","0.05","*","*"
"2019","4","10804015","番石榴","樂山 426-2	","5.85","3.71","123.29","337.56","716.51","104.99","0.04","184.14","14.88","2.31","0.92","3.29","未檢出","0.09","未檢出","*","*"
"2019","4","10804016","檸檬","樂山 426-3	","4.77","4.61","16.28","40.26","166.99","35.06","0.03","226.33","21.34","3.27","0.68","3.66","未檢出","0.33","未檢出","*","*"
